,A,AG,AL,AU,B,BB,BU,C,CF,CS,CU,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LR,M,MA,NI,OI,P,PB,PM,PP,RB,RI,RM,RS,RU,SF,SM,SN,SR,T,TA,TF,TT,V,WH,WR,Y,ZC,ZN,0
2008-01-02 00:00:00.005,1587008222.0,0.0,85247165.0,0.0,514483.0,0.0,0.0,312909996.0,141192685.0,0.0,7273896390.0,0.0,0.0,98747422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30053875.0,0.0,999912604.0,0.0,0.0,3071972.0,116720918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014129600.0,0.0,0.0,0.0,805806428.0,0.0,430433840.0,0.0,0.0,0.0,202150909.0,0.0,766776074.0,0.0,1716893230.0,15585465813.0
2008-01-03 00:00:00.005,2958837551.0,0.0,88857030.0,0.0,711252.0,0.0,0.0,269584494.0,553846175.0,0.0,6482718420.0,0.0,0.0,180366592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59573205.0,0.0,1469886373.0,0.0,0.0,5839132.0,128233364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101241360.0,0.0,0.0,0.0,928971583.0,0.0,743701510.0,0.0,0.0,0.0,156678107.0,0.0,899155140.0,0.0,2115302175.0,18143503463.0
2008-01-04 00:00:00.005,3185413129.0,0.0,587424160.0,0.0,2032013.0,0.0,0.0,366397657.0,265855545.0,0.0,432931030.0,0.0,0.0,557032948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46742120.0,0.0,1522434667.0,0.0,0.0,10480746.0,127117156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3385857400.0,0.0,0.0,0.0,1372661838.0,0.0,708835902.0,0.0,0.0,0.0,126190938.0,0.0,962769906.0,0.0,42806485.0,13702983640.0
2008-01-07 00:00:00.005,1902574835.0,0.0,210335960.0,0.0,954305.0,0.0,0.0,376088924.0,282212800.0,0.0,10306368250.0,0.0,0.0,180876516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69459920.0,0.0,769782632.0,0.0,0.0,3829496.0,132018586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2230575830.0,0.0,0.0,0.0,1254604808.0,0.0,271219764.0,0.0,0.0,0.0,111778889.0,0.0,752388878.0,0.0,4144067730.0,22999138123.0
2008-01-08 00:00:00.005,1930624288.0,0.0,92609680.0,0.0,1048455.0,0.0,0.0,439295508.0,201269695.0,0.0,7870810260.0,0.0,0.0,170526378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51754230.0,0.0,1507814887.0,0.0,0.0,2184712.0,146959776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2221540875.0,0.0,0.0,0.0,1272569958.0,0.0,702546548.0,0.0,0.0,0.0,271738718.0,0.0,816265366.0,0.0,3606667220.0,21306226554.0
2008-01-09 00:00:00.005,1838032993.0,0.0,282150825.0,13673353.26,882608.0,0.0,0.0,306186003.0,130419140.0,0.0,8228854280.0,0.0,0.0,153177566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64446285.0,0.0,1424269443.0,0.0,0.0,2991060.0,114977886.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566228955.0,0.0,0.0,0.0,964227467.0,0.0,456565674.0,0.0,0.0,0.0,128375144.0,0.0,735294048.0,0.0,3833188700.0,20243941430.260002
2008-01-10 00:00:00.005,1518149171.0,0.0,158623280.0,10352505.14,603122.0,0.0,0.0,302069017.0,189313575.0,0.0,8036323210.0,0.0,0.0,90598643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60406500.0,0.0,718891245.0,0.0,0.0,4420376.0,134143956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312606365.0,0.0,0.0,0.0,1615928056.0,0.0,289546236.0,0.0,0.0,0.0,104135546.0,0.0,625957792.0,0.0,2462368410.0,17634437005.14
2008-01-11 00:00:00.005,1810476067.0,0.0,91674175.0,9899493.52,797768.0,0.0,0.0,198994745.0,225308005.0,0.0,7501097420.0,0.0,0.0,114432599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74623600.0,0.0,736856465.0,0.0,0.0,4030528.0,137250790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770169970.0,0.0,0.0,0.0,1050867685.0,0.0,366785598.0,0.0,0.0,0.0,94833187.0,0.0,1223696940.0,0.0,3850317665.0,19262112700.52
2008-01-14 00:00:00.005,2731550146.0,0.0,98176260.0,6956448.66,4833401.0,0.0,0.0,403296390.0,260724810.0,0.0,7325046020.0,0.0,0.0,179483862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87626310.0,0.0,1683807350.0,0.0,0.0,6885392.0,63546104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651400490.0,0.0,0.0,0.0,698883947.0,0.0,193765748.0,0.0,0.0,0.0,106211800.0,0.0,1478978498.0,0.0,3162876975.0,20144049951.66
2008-01-15 00:00:00.005,2724585449.0,0.0,123576150.0,10174399.8,1090749.0,0.0,0.0,424617184.0,242862410.0,0.0,8351221440.0,0.0,0.0,148130660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115273525.0,0.0,1279477481.0,0.0,0.0,7338336.0,130607680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1711614845.0,0.0,0.0,0.0,1311667710.0,0.0,236690826.0,0.0,0.0,0.0,143415607.0,0.0,1207606442.0,0.0,2899923785.0,21069874678.8
