,A,AG,AL,AU,B,BB,BU,C,CF,CS,CU,FB,FG,FU,HC,I,IC,IF,IH,J,JD,JM,JR,L,LR,M,MA,NI,OI,P,PB,PM,PP,RB,RI,RM,RS,RU,SF,SM,SN,SR,T,TA,TF,V,WH,WR,Y,ZC,ZN
2008-01-02 00:00:00.005,14398938390.0,0.0,3990668800.0,0.0,5715110.0,0.0,0.0,6186941480.0,3632395275.0,0.0,27034634250.0,0.0,0.0,6372247000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260492250.0,0.0,9613220340.0,0.0,0.0,481888480.0,595369000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10426902300.0,0.0,0.0,0.0,12649685930.0,0.0,2556475990.0,0.0,0.0,4120369140.0,0.0,6367942140.0,0.0,3024020875.0
2008-01-03 00:00:00.005,16915060980.0,0.0,4008979850.0,0.0,6997800.0,0.0,0.0,6327666880.0,4190135675.0,0.0,27520204800.0,0.0,0.0,6389138950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292321325.0,0.0,9836190890.0,0.0,0.0,293859220.0,687393780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10715994800.0,0.0,0.0,0.0,12463003080.0,0.0,2452786500.0,0.0,0.0,4118777820.0,0.0,6275413800.0,0.0,3736101075.0
2008-01-04 00:00:00.005,16959113270.0,0.0,4248675675.0,0.0,6813840.0,0.0,0.0,6338585410.0,4364082450.0,0.0,28170146050.0,0.0,0.0,8050783850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292305850.0,0.0,9640160020.0,0.0,0.0,355870160.0,720905380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11938999950.0,0.0,0.0,0.0,13124871400.0,0.0,2726815860.0,0.0,0.0,4174798080.0,0.0,6106912760.0,0.0,3764232025.0
2008-01-07 00:00:00.005,16395746380.0,0.0,4013713400.0,0.0,8789980.0,0.0,0.0,6778049310.0,4599392450.0,0.0,28858612600.0,0.0,0.0,7358523250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295103625.0,0.0,9629845110.0,0.0,0.0,366865040.0,737130620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11434946850.0,0.0,0.0,0.0,13870395540.0,0.0,2619078780.0,0.0,0.0,4171860960.0,0.0,6384796380.0,0.0,3856582725.0
2008-01-08 00:00:00.005,15762590400.0,0.0,4000300175.0,0.0,6755060.0,0.0,0.0,6717073890.0,4568785275.0,0.0,28542821600.0,0.0,0.0,7717810000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282663450.0,0.0,10252291350.0,0.0,0.0,377736560.0,740193760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11728676600.0,0.0,0.0,0.0,14052340230.0,0.0,2755290660.0,0.0,0.0,4167364420.0,0.0,6277836120.0,0.0,4357415150.0
2008-01-09 00:00:00.005,14697732920.0,0.0,4016445450.0,2458727360.0,5007470.0,0.0,0.0,6991983160.0,4638344025.0,0.0,28234578750.0,0.0,0.0,6855481750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282862825.0,0.0,9505951090.0,0.0,0.0,383585020.0,761384800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11696420950.0,0.0,0.0,0.0,14065558820.0,0.0,2627606880.0,0.0,0.0,4050980380.0,0.0,6619822900.0,0.0,4281430825.0
2008-01-10 00:00:00.005,15125500730.0,0.0,3923829200.0,3201190330.0,5705490.0,0.0,0.0,7002931790.0,4507924475.0,0.0,28522038450.0,0.0,0.0,6620582300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268103675.0,0.0,9079457530.0,0.0,0.0,200373120.0,778471520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11590094100.0,0.0,0.0,0.0,14907847400.0,0.0,2573262800.0,0.0,0.0,3980454940.0,0.0,6506486760.0,0.0,4208803700.0
2008-01-11 00:00:00.005,15679634870.0,0.0,3910261450.0,3534600030.0,6133220.0,0.0,0.0,6886464650.0,4267672775.0,0.0,29573078100.0,0.0,0.0,7286889450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265692850.0,0.0,8756484860.0,0.0,0.0,206114040.0,813944180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11658164800.0,0.0,0.0,0.0,14073680410.0,0.0,2461537890.0,0.0,0.0,4011267100.0,0.0,7350374560.0,0.0,4109725725.0
2008-01-14 00:00:00.005,16264154090.0,0.0,3923895675.0,3793045710.0,14877560.0,0.0,0.0,7411758230.0,4168401875.0,0.0,30790581250.0,0.0,0.0,8587526900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319310125.0,0.0,9047921860.0,0.0,0.0,207815800.0,872808980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12331685850.0,0.0,0.0,0.0,13951904840.0,0.0,2518027210.0,0.0,0.0,3977501140.0,0.0,7114007680.0,0.0,4518189800.0
2008-01-15 00:00:00.005,17152323040.0,0.0,3913830725.0,4151407040.0000005,12734070.0,0.0,0.0,7277202780.0,4053717675.0,0.0,30213771800.0,0.0,0.0,7121451850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307257950.0,0.0,8176350210.0,0.0,0.0,231007660.0,890691580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12315505000.0,0.0,0.0,0.0,14304208650.0,0.0,2223396940.0,0.0,0.0,3991934940.0,0.0,7026277560.0,0.0,4631775900.0
