,A,AG,AL,AU,B,BB,BU,C,CF,CS,CU,FB,FG,FU,HC,I,IC,IF,IH,J,JD,JM,JR,L,LR,M,MA,NI,OI,P,PB,PM,PP,RB,RI,RM,RS,RU,SF,SM,SN,SR,T,TA,TF,V,WH,WR,Y,ZC,ZN
2008-01-02 00:00:00.005,15870082220.0,0.0,426235825.0,0.0,5144830.0,0.0,0.0,3129099960.0,705963425.0,0.0,36369481950.0,0.0,0.0,4937371100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150269375.0,0.0,9999126040.0,0.0,0.0,30719720.0,1167209180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10141296000.0,0.0,0.0,0.0,8058064280.0,0.0,2152169200.0,0.0,0.0,4043018180.0,0.0,7667760740.0,0.0,8584466150.0
2008-01-03 00:00:00.005,29588375510.0,0.0,444285150.0,0.0,7112520.0,0.0,0.0,2695844940.0,2769230875.0,0.0,32413592100.0,0.0,0.0,9018329600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297866025.0,0.0,14698863730.0,0.0,0.0,58391320.0,1282333640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11012413600.0,0.0,0.0,0.0,9289715830.0,0.0,3718507550.0,0.0,0.0,3133562140.0,0.0,8991551400.0,0.0,10576510875.0
2008-01-04 00:00:00.005,31854131290.0,0.0,2937120800.0,0.0,20320130.0,0.0,0.0,3663976570.0,1329277725.0,0.0,2164655150.0,0.0,0.0,27851647400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233710600.0,0.0,15224346670.0,0.0,0.0,104807460.0,1271171560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33858574000.0,0.0,0.0,0.0,13726618380.0,0.0,3544179510.0,0.0,0.0,2523818760.0,0.0,9627699060.0,0.0,214032425.0
2008-01-07 00:00:00.005,19025748350.0,0.0,1051679800.0,0.0,9543050.0,0.0,0.0,3760889240.0,1411064000.0,0.0,51531841250.0,0.0,0.0,9043825800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347299600.0,0.0,7697826320.0,0.0,0.0,38294960.0,1320185860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22305758300.0,0.0,0.0,0.0,12546048080.0,0.0,1356098820.0,0.0,0.0,2235577780.0,0.0,7523888780.0,0.0,20720338650.0
2008-01-08 00:00:00.005,19306242880.0,0.0,463048400.0,0.0,10484550.0,0.0,0.0,4392955080.0,1006348475.0,0.0,39354051300.0,0.0,0.0,8526318900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258771150.0,0.0,15078148870.0,0.0,0.0,21847120.0,1469597760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22215408750.0,0.0,0.0,0.0,12725699580.0,0.0,3512732740.0,0.0,0.0,5434774360.0,0.0,8162653660.0,0.0,18033336100.0
2008-01-09 00:00:00.005,18380329930.0,0.0,1410754125.0,13673353260.0,8826080.0,0.0,0.0,3061860030.0,652095700.0,0.0,41144271400.0,0.0,0.0,7658878300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322231425.0,0.0,14242694430.0,0.0,0.0,29910600.0,1149778860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15662289550.0,0.0,0.0,0.0,9642274670.0,0.0,2282828370.0,0.0,0.0,2567502880.0,0.0,7352940480.0,0.0,19165943500.0
2008-01-10 00:00:00.005,15181491710.0,0.0,793116400.0,10352505140.0,6031220.0,0.0,0.0,3020690170.0,946567875.0,0.0,40181616050.0,0.0,0.0,4529932150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302032500.0,0.0,7188912450.0,0.0,0.0,44203760.0,1341439560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13126063650.0,0.0,0.0,0.0,16159280560.0,0.0,1447731180.0,0.0,0.0,2082710920.0,0.0,6259577920.0,0.0,12311842050.0
2008-01-11 00:00:00.005,18104760670.0,0.0,458370875.0,9899493520.0,7977680.0,0.0,0.0,1989947450.0,1126540025.0,0.0,37505487100.0,0.0,0.0,5721629950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373118000.0,0.0,7368564650.0,0.0,0.0,40305280.0,1372507900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17701699700.0,0.0,0.0,0.0,10508676850.0,0.0,1833927990.0,0.0,0.0,1896663740.0,0.0,12236969400.0,0.0,19251588325.0
2008-01-14 00:00:00.005,27315501460.0,0.0,490881300.0,6956448660.0,48334010.0,0.0,0.0,4032963900.0,1303624050.0,0.0,36625230100.0,0.0,0.0,8974193100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438131550.0,0.0,16838073500.0,0.0,0.0,68853920.0,635461040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16514004900.0,0.0,0.0,0.0,6988839470.0,0.0,968828740.0,0.0,0.0,2124236000.0,0.0,14789784980.0,0.0,15814384875.0
2008-01-15 00:00:00.005,27245854490.0,0.0,617880750.0,10174399800.0,10907490.0,0.0,0.0,4246171840.0,1214312050.0,0.0,41756107200.0,0.0,0.0,7406533000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576367625.0,0.0,12794774810.0,0.0,0.0,73383360.0,1306076800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17116148450.0,0.0,0.0,0.0,13116677100.0,0.0,1183454130.0,0.0,0.0,2868312140.0,0.0,12076064420.0,0.0,14499618925.0
