IF,zj,0.08,0.1,300,0.2
IH,zj,0.08,0.1,300,0.2
IC,zj,0.08,0.1,200,0.2
TF,zj,0.01,0.012,10000,0.005
T,zj,0.02,0.02,10000,0.005
au,sq,0.04,0.03,1000,0.05
ag,sq,0.04,0.03,15,1
cu,sq,0.05,0.03,5,10
al,sq,0.05,0.03,5,5
pb,sq,0.05,0.04,5,5
zn,sq,0.05,0.04,5,5
fu,sq,0.08,0.05,50,1
ni,sq,0.05,0.04,1,10
ru,sq,0.05,0.03,10,5
rb,sq,0.05,0.03,10,1
sn,sq,0.05,0.04,1,10
wr,sq,0.07,0.05,10,1
bu,sq,0.04,0.03,10,2
hc,sq,0.04,0.03,10,1
a,ds,0.05,0.04,10,1
b,ds,0.05,0.04,10,1
c,ds,0.05,0.04,10,1
cs,ds,0.05,0.04,10,1
j,ds,0.05,0.04,100,0.5
jm,ds,0.05,0.04,60,0.5
l,ds,0.05,0.04,5,5
m,ds,0.05,0.04,10,1
p,ds,0.05,0.04,10,2
v,ds,0.05,0.04,5,5
y,ds,0.05,0.04,10,2
i,ds,0.05,0.04,100,0.5
jd,ds,0.05,0.04,10,1
fb,ds,0.05,0.04,500,0.05
bb,ds,0.05,0.04,500,0.05
pp,ds,0.05,0.04,5,1
TA,zs,0.05,0.04,5,2
RS,zs,0.05,0.04,10,1
RM,zs,0.05,0.04,10,1
MA,zs,0.05,0.04,10,1
SR,zs,0.06,0.04,10,1
CF,zs,0.05,0.04,5,5
FG,zs,0.05,0.04,20,1
PM,zs,0.05,0.04,50,1
WH,zs,0.05,0.04,20,1
RI,zs,0.05,0.04,20,1
OI,zs,0.05,0.04,10,2
JR,zs,0.05,0.04,20,1
SM,zs,0.05,0.04,5,2
SF,zs,0.05,0.04,5,2
ZC,zs,0.05,0.04,100,0.2
LR,zs,0.05,0.04,20,1
